ROSTER_PATTERN_ID,DAY_INDEX,START_TIME,END_TIME,LUNCH_DURATION
0,0,800,1610,40.0
0,1,800,1610,40.0
0,2,800,1610,40.0
0,3,800,1610,40.0
0,4,800,1610,40.0
0,5,0,0,40.0
0,6,0,0,40.0
1,0,800,1610,40.0
1,1,800,1610,40.0
1,2,800,1610,40.0
1,3,800,1610,40.0
1,4,800,1610,40.0
1,5,0,0,40.0
1,6,0,0,40.0
1,7,800,1610,40.0
1,8,800,1610,40.0
1,9,800,1610,40.0
1,10,800,1610,40.0
1,11,800,1610,40.0
1,12,0,0,40.0
1,13,0,0,40.0
1,14,0,0,40.0
1,15,800,1610,40.0
1,16,800,1610,40.0
1,17,800,1610,40.0
1,18,800,1610,40.0
1,19,800,1610,40.0
1,20,0,0,40.0
1,21,0,0,40.0
1,22,800,1610,40.0
1,23,800,1610,40.0
1,24,800,1610,40.0
1,25,800,1610,40.0
1,26,0,0,40.0
1,27,0,0,40.0
1,28,800,1610,40.0
1,29,800,1610,40.0
1,30,800,1610,40.0
1,31,800,1610,40.0
1,32,800,1610,40.0
1,33,800,1610,40.0
1,34,0,0,40.0
1,35,0,0,40.0
1,36,800,1610,40.0
1,37,800,1610,40.0
1,38,800,1610,40.0
1,39,800,1610,40.0
1,40,0,0,40.0
1,41,0,0,40.0
1,42,800,1610,40.0
1,43,800,1610,40.0
1,44,800,1610,40.0
1,45,0,0,40.0
1,46,800,1610,40.0
1,47,800,1610,40.0
1,48,0,0,40.0
1,49,800,1610,40.0
1,50,800,1610,40.0
1,51,800,1610,40.0
1,52,800,1610,40.0
1,53,800,1610,40.0
1,54,0,0,40.0
1,55,0,0,40.0
1,56,800,1610,40.0
1,57,800,1610,40.0
1,58,800,1610,40.0
1,59,800,1610,40.0
1,60,800,1610,40.0
1,61,0,0,40.0
1,62,0,0,40.0
1,63,800,1610,40.0
1,64,800,1610,40.0
1,65,800,1610,40.0
1,66,800,1610,40.0
1,67,800,1610,40.0
1,68,0,0,40.0
1,69,0,0,40.0
1,70,0,0,40.0
1,71,800,1610,40.0
1,72,800,1610,40.0
1,73,800,1610,40.0
1,74,800,1610,40.0
1,75,800,1610,40.0
1,76,0,0,40.0
1,77,800,1610,40.0
1,78,800,1610,40.0
1,79,800,1610,40.0
1,80,800,1610,40.0
1,81,0,0,40.0
1,82,0,0,40.0
1,83,800,1610,40.0
1,84,800,1610,40.0
1,85,800,1610,40.0
1,86,800,1610,40.0
1,87,800,1610,40.0
1,88,800,1610,40.0
1,89,0,0,40.0
1,90,0,0,40.0
2,0,800,1615,45.0
2,1,800,1615,45.0
2,2,800,1615,45.0
2,3,800,1615,45.0
2,4,800,1615,45.0
2,5,0,0,45.0
2,6,0,0,45.0
2,7,800,1615,45.0
2,8,800,1615,45.0
2,9,800,1615,45.0
2,10,800,1615,45.0
2,11,800,1615,45.0
2,12,0,0,45.0
2,13,0,0,45.0
2,14,800,1615,45.0
2,15,800,1615,45.0
2,16,800,1615,45.0
2,17,800,1615,45.0
2,18,800,1615,45.0
2,19,0,0,45.0
2,20,0,0,45.0
2,21,800,1615,45.0
2,22,800,1615,45.0
2,23,0,0,45.0
2,24,800,1615,45.0
2,25,0,0,45.0
2,26,800,1615,45.0
2,27,800,1615,45.0
2,28,800,1615,45.0
2,29,800,1615,45.0
2,30,800,1615,45.0
2,31,800,1615,45.0
2,32,800,1615,45.0
2,33,0,0,45.0
2,34,0,0,45.0
2,35,800,1615,45.0
2,36,800,1615,45.0
2,37,800,1615,45.0
2,38,800,1615,45.0
2,39,800,1615,45.0
2,40,0,0,45.0
2,41,0,0,45.0
2,42,800,1615,45.0
2,43,800,1615,45.0
2,44,800,1615,45.0
2,45,800,1615,45.0
2,46,800,1615,45.0
2,47,0,0,45.0
2,48,0,0,45.0
2,49,800,1615,45.0
2,50,800,1615,45.0
2,51,800,1615,45.0
2,52,0,0,45.0
2,53,800,1615,45.0
2,54,800,1615,45.0
2,55,0,0,45.0
2,56,0,0,45.0
2,57,800,1615,45.0
2,58,800,1615,45.0
2,59,800,1615,45.0
2,60,800,1615,45.0
2,61,800,1615,45.0
2,62,0,0,45.0
2,63,0,0,45.0
2,64,800,1615,45.0
2,65,800,1615,45.0
2,66,800,1615,45.0
2,67,800,1615,45.0
2,68,0,0,45.0
2,69,0,0,45.0
2,70,800,1615,45.0
2,71,800,1615,45.0
2,72,800,1615,45.0
2,73,800,1615,45.0
2,74,800,1615,45.0
2,75,0,0,45.0
2,76,0,0,45.0
2,77,800,1615,45.0
2,78,800,1615,45.0
2,79,800,1615,45.0
2,80,800,1615,45.0
2,81,0,0,45.0
2,82,800,1615,45.0
2,83,0,0,45.0
3,0,800,1610,40.0
3,1,800,1610,40.0
3,2,800,1610,40.0
3,3,800,1610,40.0
3,4,800,1610,40.0
3,5,0,0,40.0
3,6,0,0,40.0
3,7,800,1610,40.0
